Order ID,Restaurant Name,Location,Order Time,Delivery Time,Delivery Duration (min),Pizza Size,Pizza Type,Toppings Count,Distance (km),Traffic Level,Payment Method,Is Peak Hour,Is Weekend,Topping Density,Order Month,Payment Category,Estimated Duration (min),Delay (min),Is Delayed,Traffic Impact,Order Hour
ORD027,Papa John's,"Denver, CO",27-01-2024 19:15,27-01-2024 19:40,25,Small,Vegan,2,2,Medium,UPI,TRUE,TRUE,1,January,Online,4.8,20.2,FALSE,2,19
ORD028,Little Caesars,"Boston, MA",28-01-2024 18:30,28-01-2024 18:50,20,Medium,Non-Veg,3,3.5,High,Cash,TRUE,TRUE,0.857142857,January,Offline,8.4,11.6,FALSE,3,18
ORD029,Pizza Hut,"Chicago, IL",29-01-2024 20:00,29-01-2024 20:25,25,XL,Cheese Burst,5,4,Low,Wallet,TRUE,FALSE,1.25,January,Online,9.6,15.4,FALSE,1,20
ORD030,Marco's Pizza,"Miami, FL",30-01-2024 13:15,30-01-2024 13:35,20,Medium,Non-Veg,3,3,Medium,Card,FALSE,FALSE,1,January,Online,7.2,12.8,FALSE,2,13
ORD031,Domino's,"Los Angeles, CA",01-02-2024 19:45,01-02-2024 20:10,25,Large,Veg,4,4.5,High,UPI,TRUE,FALSE,0.888888889,February,Online,10.8,14.2,FALSE,3,19
ORD032,Papa John's,"Phoenix, AZ",02-02-2024 18:00,02-02-2024 18:25,25,Small,Vegan,2,2,Low,Cash,TRUE,FALSE,1,February,Offline,4.8,20.2,FALSE,1,18
ORD033,Little Caesars,"Atlanta, GA",03-02-2024 20:30,03-02-2024 20:55,25,Medium,Non-Veg,3,3.5,Medium,Wallet,TRUE,TRUE,0.857142857,February,Online,8.4,16.6,FALSE,2,20
ORD034,Pizza Hut,"Dallas, TX",04-02-2024 14:15,04-02-2024 14:35,20,XL,Cheese Burst,5,4,High,Card,FALSE,TRUE,1.25,February,Online,9.6,10.4,FALSE,3,14
ORD035,Marco's Pizza,"Seattle, WA",05-02-2024 19:00,05-02-2024 19:25,25,Medium,Non-Veg,3,3,Low,UPI,TRUE,FALSE,1,February,Online,7.2,17.8,FALSE,1,19
ORD036,Domino's,"Houston, TX",06-02-2024 18:45,06-02-2024 19:10,25,Large,Veg,4,4.5,Medium,Card,TRUE,FALSE,0.888888889,February,Online,10.8,14.2,FALSE,2,18
ORD037,Papa John's,"Phoenix, AZ",07-02-2024 20:00,07-02-2024 20:25,25,Medium,Non-Veg,3,3,High,UPI,TRUE,FALSE,1,February,Online,7.2,17.8,FALSE,3,20
ORD038,Little Caesars,"Atlanta, GA",08-02-2024 19:30,08-02-2024 19:50,20,Small,Vegan,2,2.5,Low,Cash,TRUE,FALSE,0.8,February,Offline,6,14,FALSE,1,19
ORD039,Pizza Hut,"Dallas, TX",09-02-2024 18:15,09-02-2024 18:40,25,XL,Cheese Burst,5,4,Medium,Wallet,TRUE,FALSE,1.25,February,Online,9.6,15.4,FALSE,2,18
ORD040,Marco's Pizza,"Seattle, WA",10-02-2024 14:30,10-02-2024 14:50,20,Medium,Non-Veg,3,3.5,High,Card,FALSE,TRUE,0.857142857,February,Online,8.4,11.6,FALSE,3,14
ORD041,Domino's,"Denver, CO",11-02-2024 19:00,11-02-2024 19:20,20,Large,Veg,4,4,Low,UPI,TRUE,TRUE,1,February,Online,9.6,10.4,FALSE,1,19
ORD042,Papa John's,"Boston, MA",12-02-2024 20:15,12-02-2024 20:40,25,Small,Vegan,2,2,Medium,Cash,TRUE,FALSE,1,February,Offline,4.8,20.2,FALSE,2,20
ORD043,Little Caesars,"Dallas, TX",13-02-2024 18:30,13-02-2024 18:50,20,Medium,Non-Veg,3,3,High,Wallet,TRUE,FALSE,1,February,Online,7.2,12.8,FALSE,3,18
ORD044,Pizza Hut,"Los Angeles, CA",14-02-2024 19:45,14-02-2024 20:10,25,XL,Cheese Burst,5,5,Low,Card,TRUE,FALSE,1,February,Online,12,13,FALSE,1,19
ORD045,Marco's Pizza,"Chicago, IL",15-02-2024 13:00,15-02-2024 13:20,20,Medium,Non-Veg,3,3.5,Medium,UPI,FALSE,FALSE,0.857142857,February,Online,8.4,11.6,FALSE,2,13
ORD046,Domino's,"Miami, FL",16-02-2024 18:30,16-02-2024 18:50,20,Large,Veg,4,4,High,Cash,TRUE,FALSE,1,February,Offline,9.6,10.4,FALSE,3,18
ORD047,Papa John's,"Dallas, TX",17-02-2024 20:00,17-02-2024 20:25,25,Medium,Non-Veg,3,3,Low,Wallet,TRUE,TRUE,1,February,Online,7.2,17.8,FALSE,1,20
ORD048,Little Caesars,"Houston, TX",18-02-2024 19:15,18-02-2024 19:35,20,Small,Vegan,2,2.5,Medium,Card,TRUE,TRUE,0.8,February,Online,6,14,FALSE,2,19
ORD049,Pizza Hut,"Phoenix, AZ",19-02-2024 20:30,19-02-2024 20:55,25,XL,Cheese Burst,5,4.5,High,UPI,TRUE,FALSE,1.111111111,February,Online,10.8,14.2,FALSE,3,20
ORD050,Marco's Pizza,"Atlanta, GA",20-02-2024 14:45,20-02-2024 15:05,20,Medium,Non-Veg,3,3,Low,Cash,FALSE,FALSE,1,February,Offline,7.2,12.8,FALSE,1,14
ORD051,Domino's,"Seattle, WA",21-02-2024 19:00,21-02-2024 19:20,20,Large,Veg,4,4,Medium,Wallet,TRUE,FALSE,1,February,Online,9.6,10.4,FALSE,2,19
ORD052,Papa John's,"Denver, CO",22-02-2024 20:15,22-02-2024 20:40,25,Small,Vegan,2,2,High,Card,TRUE,FALSE,1,February,Online,4.8,20.2,FALSE,3,20
ORD053,Little Caesars,"Boston, MA",23-02-2024 18:30,23-02-2024 18:50,20,Medium,Non-Veg,3,3.5,Low,UPI,TRUE,FALSE,0.857142857,February,Online,8.4,11.6,FALSE,1,18
ORD054,Pizza Hut,"Chicago, IL",24-02-2024 19:45,24-02-2024 20:10,25,XL,Cheese Burst,5,4,Medium,Cash,TRUE,TRUE,1.25,February,Offline,9.6,15.4,FALSE,2,19
ORD055,Marco's Pizza,"Miami, FL",25-02-2024 13:00,25-02-2024 13:20,20,Medium,Non-Veg,3,3,High,Wallet,FALSE,TRUE,1,February,Online,7.2,12.8,FALSE,3,13
ORD056,Domino's,"Los Angeles, CA",26-02-2024 18:30,26-02-2024 18:50,20,Large,Veg,4,4.5,Low,Card,TRUE,FALSE,0.888888889,February,Online,10.8,9.2,FALSE,1,18
ORD057,Papa John's,"Phoenix, AZ",27-02-2024 20:00,27-02-2024 20:25,25,Medium,Non-Veg,3,3,High,UPI,TRUE,FALSE,1,February,Online,7.2,17.8,FALSE,3,20
ORD058,Little Caesars,"Atlanta, GA",28-02-2024 19:15,28-02-2024 19:35,20,Small,Vegan,2,2.5,Low,Cash,TRUE,FALSE,0.8,February,Offline,6,14,FALSE,1,19
ORD059,Pizza Hut,"Dallas, TX",29-02-2024 20:30,29-02-2024 20:55,25,XL,Cheese Burst,5,4,Medium,Wallet,TRUE,FALSE,1.25,February,Online,9.6,15.4,FALSE,2,20
ORD060,Marco's Pizza,"Seattle, WA",01-03-2024 14:45,01-03-2024 15:05,20,Medium,Non-Veg,3,3.5,High,Card,FALSE,FALSE,0.857142857,March,Online,8.4,11.6,FALSE,3,14
ORD061,Domino's,"Denver, CO",02-03-2024 19:00,02-03-2024 19:20,20,Large,Veg,4,4,Low,UPI,TRUE,TRUE,1,March,Online,9.6,10.4,FALSE,1,19
ORD062,Papa John's,"Boston, MA",03-03-2024 20:15,03-03-2024 20:40,25,Small,Vegan,2,2,Medium,Cash,TRUE,TRUE,1,March,Offline,4.8,20.2,FALSE,2,20
ORD063,Little Caesars,"Dallas, TX",04-03-2024 18:30,04-03-2024 18:50,20,Medium,Non-Veg,3,3,High,Wallet,TRUE,FALSE,1,March,Online,7.2,12.8,FALSE,3,18
ORD064,Pizza Hut,"Los Angeles, CA",05-03-2024 19:45,05-03-2024 20:10,25,XL,Cheese Burst,5,4.5,Low,Card,TRUE,FALSE,1.111111111,March,Online,10.8,14.2,FALSE,1,19
ORD065,Marco's Pizza,"Chicago, IL",06-03-2024 13:00,06-03-2024 13:20,20,Medium,Non-Veg,3,3.5,Low,Card,FALSE,FALSE,0.857142857,March,Online,8.4,11.6,FALSE,1,13
ORD066,Domino's,"Miami, FL",07-03-2024 18:30,07-03-2024 18:50,20,Large,Veg,4,4,High,Card,TRUE,FALSE,1,March,Online,9.6,10.4,FALSE,3,18
ORD067,Papa John's,"Dallas, TX",08-03-2024 20:00,08-03-2024 20:25,25,Medium,Non-Veg,3,3.5,Medium,UPI,TRUE,FALSE,0.857142857,March,Online,8.4,16.6,FALSE,2,20
ORD068,Little Caesars,"Chicago, IL",09-03-2024 19:15,09-03-2024 19:35,20,Small,Vegan,2,2.5,Low,Cash,TRUE,TRUE,0.8,March,Offline,6,14,FALSE,1,19
ORD069,Pizza Hut,"Phoenix, AZ",10-03-2024 19:45,10-03-2024 20:10,25,XL,Cheese Burst,5,4.5,High,Wallet,TRUE,TRUE,1.111111111,March,Online,10.8,14.2,FALSE,3,19
ORD070,Marco's Pizza,"Atlanta, GA",11-03-2024 13:00,11-03-2024 13:20,20,Medium,Non-Veg,3,3,Low,Card,FALSE,FALSE,1,March,Online,7.2,12.8,FALSE,1,13
ORD071,Domino's,"Seattle, WA",12-03-2024 18:30,12-03-2024 18:50,20,Large,Veg,4,4,Medium,UPI,TRUE,FALSE,1,March,Online,9.6,10.4,FALSE,2,18
ORD072,Papa John's,"Denver, CO",13-03-2024 20:15,13-03-2024 20:40,25,Small,Vegan,2,2,High,Cash,TRUE,FALSE,1,March,Offline,4.8,20.2,FALSE,3,20
ORD073,Little Caesars,"Boston, MA",14-03-2024 18:30,14-03-2024 18:50,20,Medium,Non-Veg,3,3.5,Low,Wallet,TRUE,FALSE,0.857142857,March,Online,8.4,11.6,FALSE,1,18
ORD074,Pizza Hut,"Chicago, IL",15-03-2024 19:45,15-03-2024 20:10,25,XL,Cheese Burst,5,4,Medium,Card,TRUE,FALSE,1.25,March,Online,9.6,15.4,FALSE,2,19
ORD075,Marco's Pizza,"Miami, FL",16-03-2024 13:00,16-03-2024 13:20,20,Medium,Non-Veg,3,3,High,UPI,FALSE,TRUE,1,March,Online,7.2,12.8,FALSE,3,13
ORD076,Domino's,"Los Angeles, CA",17-03-2024 18:30,17-03-2024 18:50,20,Large,Veg,4,4.5,Low,Cash,TRUE,TRUE,0.888888889,March,Offline,10.8,9.2,FALSE,1,18
ORD077,Papa John's,"Phoenix, AZ",18-03-2024 20:00,18-03-2024 20:25,25,Medium,Non-Veg,3,3,High,Wallet,TRUE,FALSE,1,March,Online,7.2,17.8,FALSE,3,20
ORD078,Little Caesars,"Atlanta, GA",19-03-2024 19:15,19-03-2024 19:35,20,Small,Vegan,2,2.5,Low,Card,TRUE,FALSE,0.8,March,Online,6,14,FALSE,1,19
ORD079,Pizza Hut,"Dallas, TX",20-03-2024 19:45,20-03-2024 20:10,25,XL,Cheese Burst,5,4,Medium,UPI,TRUE,FALSE,1.25,March,Online,9.6,15.4,FALSE,2,19
ORD080,Marco's Pizza,"Seattle, WA",21-03-2024 13:00,21-03-2024 13:20,20,Medium,Non-Veg,3,3.5,High,Cash,FALSE,FALSE,0.857142857,March,Offline,8.4,11.6,FALSE,3,13
ORD081,Domino's,"Denver, CO",22-03-2024 18:30,22-03-2024 18:50,20,Large,Veg,4,4,Low,Wallet,TRUE,FALSE,1,March,Online,9.6,10.4,FALSE,1,18
ORD082,Papa John's,"Boston, MA",23-03-2024 20:15,23-03-2024 20:40,25,Small,Vegan,2,2,High,Card,TRUE,TRUE,1,March,Online,4.8,20.2,FALSE,3,20
ORD083,Little Caesars,"Dallas, TX",24-03-2024 18:30,24-03-2024 18:50,20,Medium,Non-Veg,3,3,High,UPI,TRUE,TRUE,1,March,Online,7.2,12.8,FALSE,3,18
ORD084,Pizza Hut,"Los Angeles, CA",25-03-2024 19:45,25-03-2024 20:10,25,XL,Cheese Burst,5,4.5,Low,Cash,TRUE,FALSE,1.111111111,March,Offline,10.8,14.2,FALSE,1,19
ORD085,Marco's Pizza,"Chicago, IL",26-03-2024 13:00,26-03-2024 13:20,20,Medium,Non-Veg,3,3.5,Medium,Wallet,FALSE,FALSE,0.857142857,March,Online,8.4,11.6,FALSE,2,13
ORD086,Domino's,"Miami, FL",27-03-2024 18:30,27-03-2024 18:50,20,Large,Veg,4,4,High,Card,TRUE,FALSE,1,March,Online,9.6,10.4,FALSE,3,18
ORD087,Papa John's,"Dallas, TX",28-03-2024 20:00,28-03-2024 20:25,25,Medium,Non-Veg,3,3,Low,UPI,TRUE,FALSE,1,March,Online,7.2,17.8,FALSE,1,20
ORD088,Little Caesars,"Houston, TX",29-03-2024 19:15,29-03-2024 19:35,20,Small,Vegan,2,2.5,Low,Cash,TRUE,FALSE,0.8,March,Offline,6,14,FALSE,1,19
ORD089,Pizza Hut,"Phoenix, AZ",30-03-2024 19:45,30-03-2024 20:10,25,XL,Cheese Burst,5,4.5,High,Wallet,TRUE,TRUE,1.111111111,March,Online,10.8,14.2,FALSE,3,19
ORD090,Marco's Pizza,"Atlanta, GA",31-03-2024 13:00,31-03-2024 13:20,20,Medium,Non-Veg,3,3,Medium,Card,FALSE,TRUE,1,March,Online,7.2,12.8,FALSE,2,13
ORD091,Domino's,"Seattle, WA",01-04-2024 18:30,01-04-2024 18:50,20,Large,Veg,4,4,Low,UPI,TRUE,FALSE,1,April,Online,9.6,10.4,FALSE,1,18
ORD092,Papa John's,"Denver, CO",02-04-2024 20:15,02-04-2024 20:40,25,Small,Vegan,2,2,High,Cash,TRUE,FALSE,1,April,Offline,4.8,20.2,FALSE,3,20
ORD093,Little Caesars,"Boston, MA",03-04-2024 18:30,03-04-2024 18:50,20,Medium,Non-Veg,3,3.5,Low,Wallet,TRUE,FALSE,0.857142857,April,Online,8.4,11.6,FALSE,1,18
ORD094,Pizza Hut,"Chicago, IL",04-04-2024 19:45,04-04-2024 20:10,25,XL,Cheese Burst,5,4,Medium,Card,TRUE,FALSE,1.25,April,Online,9.6,15.4,FALSE,2,19
ORD095,Marco's Pizza,"Miami, FL",05-04-2024 13:00,05-04-2024 13:20,20,Medium,Non-Veg,3,3,High,UPI,FALSE,FALSE,1,April,Online,7.2,12.8,FALSE,3,13
ORD096,Domino's,"Los Angeles, CA",06-04-2024 18:30,06-04-2024 18:50,20,Large,Veg,4,4.5,High,Card,TRUE,TRUE,0.888888889,April,Online,10.8,9.2,FALSE,3,18
ORD097,Papa John's,"Dallas, TX",07-04-2024 20:00,07-04-2024 20:25,25,Medium,Non-Veg,3,3,Medium,UPI,TRUE,TRUE,1,April,Online,7.2,17.8,FALSE,2,20
ORD098,Little Caesars,"Chicago, IL",08-04-2024 19:15,08-04-2024 19:35,20,Small,Vegan,2,2.5,Low,Cash,TRUE,FALSE,0.8,April,Offline,6,14,FALSE,1,19
ORD099,Pizza Hut,"Phoenix, AZ",09-04-2024 19:45,09-04-2024 20:10,25,XL,Cheese Burst,5,4,High,Wallet,TRUE,FALSE,1.25,April,Online,9.6,15.4,FALSE,3,19
ORD100,Marco's Pizza,"Atlanta, GA",10-04-2024 13:00,10-04-2024 13:20,20,Medium,Non-Veg,3,3.5,Low,Card,FALSE,FALSE,0.857142857,April,Online,8.4,11.6,FALSE,1,13
ORD101,Domino's,"Seattle, WA",11-04-2024 18:30,11-04-2024 18:50,20,Large,Veg,4,4.5,Medium,UPI,TRUE,FALSE,0.888888889,April,Online,10.8,9.2,FALSE,2,18
ORD102,Papa John's,"Denver, CO",12-04-2024 20:15,12-04-2024 20:40,25,Small,Vegan,2,2,High,Cash,TRUE,FALSE,1,April,Offline,4.8,20.2,FALSE,3,20
ORD103,Little Caesars,"Boston, MA",13-04-2024 18:30,13-04-2024 18:50,20,Medium,Non-Veg,3,3.5,Low,Wallet,TRUE,TRUE,0.857142857,April,Online,8.4,11.6,FALSE,1,18
ORD104,Pizza Hut,"Chicago, IL",14-04-2024 19:45,14-04-2024 20:10,25,XL,Cheese Burst,5,4,Medium,Card,TRUE,TRUE,1.25,April,Online,9.6,15.4,FALSE,2,19
ORD105,Marco's Pizza,"Miami, FL",15-04-2024 13:00,15-04-2024 13:20,20,Medium,Non-Veg,3,3,High,UPI,FALSE,FALSE,1,April,Online,7.2,12.8,FALSE,3,13
ORD106,Domino's,"Los Angeles, CA",16-04-2024 18:30,16-04-2024 18:50,20,Large,Veg,4,4.5,Low,Cash,TRUE,FALSE,0.888888889,April,Offline,10.8,9.2,FALSE,1,18
ORD107,Papa John's,"Phoenix, AZ",17-04-2024 20:00,17-04-2024 20:25,25,Medium,Non-Veg,3,3,High,Wallet,TRUE,FALSE,1,April,Online,7.2,17.8,FALSE,3,20
ORD108,Little Caesars,"Atlanta, GA",18-04-2024 19:15,18-04-2024 19:35,20,Small,Vegan,2,2.5,Low,Card,TRUE,FALSE,0.8,April,Online,6,14,FALSE,1,19
ORD109,Pizza Hut,"Dallas, TX",19-04-2024 19:45,19-04-2024 20:10,25,XL,Cheese Burst,5,4,Medium,UPI,TRUE,FALSE,1.25,April,Online,9.6,15.4,FALSE,2,19
ORD110,Marco's Pizza,"Seattle, WA",20-04-2024 13:00,20-04-2024 13:20,20,Medium,Non-Veg,3,3.5,High,Cash,FALSE,TRUE,0.857142857,April,Offline,8.4,11.6,FALSE,3,13
ORD111,Domino's,"Denver, CO",21-04-2024 18:30,21-04-2024 18:50,20,Large,Veg,4,4.5,Low,Wallet,TRUE,TRUE,0.888888889,April,Online,10.8,9.2,FALSE,1,18
ORD112,Papa John's,"Boston, MA",22-04-2024 20:15,22-04-2024 20:40,25,Small,Vegan,2,2,High,Card,TRUE,FALSE,1,April,Online,4.8,20.2,FALSE,3,20
ORD113,Little Caesars,"Dallas, TX",23-04-2024 18:30,23-04-2024 18:50,20,Medium,Non-Veg,3,3,High,UPI,TRUE,FALSE,1,April,Online,7.2,12.8,FALSE,3,18
ORD114,Pizza Hut,"Los Angeles, CA",24-04-2024 19:45,24-04-2024 20:10,25,XL,Cheese Burst,5,4.5,Low,Cash,TRUE,FALSE,1.111111111,April,Offline,10.8,14.2,FALSE,1,19
ORD115,Marco's Pizza,"Chicago, IL",25-04-2024 13:00,25-04-2024 13:20,20,Medium,Non-Veg,3,3.5,Medium,Wallet,FALSE,FALSE,0.857142857,April,Online,8.4,11.6,FALSE,2,13
ORD116,Domino's,"Miami, FL",26-04-2024 18:30,26-04-2024 18:50,20,Large,Veg,4,4,High,Card,TRUE,FALSE,1,April,Online,9.6,10.4,FALSE,3,18
ORD117,Papa John's,"Dallas, TX",27-04-2024 20:00,27-04-2024 20:25,25,Medium,Non-Veg,3,3,Low,UPI,TRUE,TRUE,1,April,Online,7.2,17.8,FALSE,1,20
ORD118,Little Caesars,"Houston, TX",28-04-2024 19:15,28-04-2024 19:35,20,Small,Vegan,2,2.5,Low,Cash,TRUE,TRUE,0.8,April,Offline,6,14,FALSE,1,19
ORD119,Pizza Hut,"Phoenix, AZ",29-04-2024 19:45,29-04-2024 20:10,25,XL,Cheese Burst,5,4.5,High,Wallet,TRUE,FALSE,1.111111111,April,Online,10.8,14.2,FALSE,3,19
ORD120,Marco's Pizza,"Atlanta, GA",30-04-2024 13:00,30-04-2024 13:20,20,Medium,Non-Veg,3,3,Medium,Card,FALSE,FALSE,1,April,Online,7.2,12.8,FALSE,2,13
ORD121,Domino's,"Seattle, WA",01-05-2024 18:30,01-05-2024 18:50,20,Large,Veg,4,4.5,Low,UPI,TRUE,FALSE,0.888888889,May,Online,10.8,9.2,FALSE,1,18
ORD122,Papa John's,"Denver, CO",02-05-2024 20:15,02-05-2024 20:40,25,Small,Vegan,2,2,High,Cash,TRUE,FALSE,1,May,Offline,4.8,20.2,FALSE,3,20
ORD123,Little Caesars,"Boston, MA",03-05-2024 18:30,03-05-2024 18:50,20,Medium,Non-Veg,3,3.5,Low,Wallet,TRUE,FALSE,0.857142857,May,Online,8.4,11.6,FALSE,1,18
ORD124,Pizza Hut,"Chicago, IL",04-05-2024 19:45,04-05-2024 20:10,25,XL,Cheese Burst,5,4,Medium,Card,TRUE,TRUE,1.25,May,Online,9.6,15.4,FALSE,2,19
ORD125,Marco's Pizza,"Miami, FL",05-05-2024 13:00,05-05-2024 13:20,20,Medium,Non-Veg,3,3,High,UPI,FALSE,TRUE,1,May,Online,7.2,12.8,FALSE,3,13
ORD126,Domino's,"New York, NY",01-08-2024 18:00,01-08-2024 18:20,20,Medium,Veg,2,3,Low,Card,TRUE,FALSE,0.666666667,August,Online,7.2,12.8,FALSE,1,18
ORD127,Papa John's,"Chicago, IL",02-08-2024 19:15,02-08-2024 19:45,30,Large,Non-Veg,4,6,Medium,UPI,TRUE,FALSE,0.666666667,August,Online,14.4,15.6,FALSE,2,19
ORD128,Pizza Hut,"Los Angeles, CA",03-08-2024 20:30,03-08-2024 21:10,40,XL,Cheese Burst,5,8,High,Wallet,TRUE,TRUE,0.625,August,Online,19.2,20.8,TRUE,3,20
ORD129,Little Caesars,"Houston, TX",04-08-2024 18:45,04-08-2024 19:05,20,Small,Vegan,1,2.5,Low,Cash,TRUE,TRUE,0.4,August,Offline,6,14,FALSE,1,18
ORD130,Marco's Pizza,"Phoenix, AZ",05-08-2024 19:00,05-08-2024 19:50,50,Large,Non-Veg,4,10,High,Card,TRUE,FALSE,0.4,August,Online,24,26,TRUE,3,19
ORD131,Domino's,"Miami, FL",06-08-2024 20:00,06-08-2024 20:35,35,Medium,Veg,3,5.5,Medium,Wallet,TRUE,FALSE,0.545454545,August,Online,13.2,21.8,TRUE,2,20
ORD132,Papa John's,"Denver, CO",07-08-2024 18:30,07-08-2024 18:50,20,Small,Vegan,2,2,Low,UPI,TRUE,FALSE,1,August,Online,4.8,15.2,FALSE,1,18
ORD133,Pizza Hut,"Boston, MA",08-08-2024 19:45,08-08-2024 20:25,40,XL,Cheese Burst,5,7.5,High,Cash,TRUE,FALSE,0.666666667,August,Offline,18,22,TRUE,3,19
ORD134,Little Caesars,"Dallas, TX",09-08-2024 18:00,09-08-2024 18:30,30,Medium,Non-Veg,3,4,Medium,Card,TRUE,FALSE,0.75,August,Online,9.6,20.4,FALSE,2,18
